Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint,Complaint Detail,Incident Zip,Status,Community Board,Borough,Latitude,Longitude,Complaint Year,Complaint Month,Month Name,Main Complaint Category,Neighborhood
67349073,,,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,11415,Closed,09 QUEENS,QUEENS,40.70633934162246,-73.82392336425512,,,,Parking & Traffic,Kew Gardens
67345868,,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,10468,Closed,05 BRONX,BRONX,40.85881133103571,-73.90149310928366,,,,Noise,Fordham Heights
67353600,,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,10463,Closed,08 BRONX,BRONX,40.87875827837968,-73.9062730360959,,,,Noise,Kingsbridge-Marble Hill
67349156,,,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Traffic,11209,Closed,10 BROOKLYN,BROOKLYN,40.63399709979359,-74.02970939084932,,,,Parking & Traffic,Bay Ridge
67352827,,,NYPD,New York City Police Department,Blocked Driveway,Partial Access,11356,Closed,07 QUEENS,QUEENS,40.785848181566855,-73.85025113558584,,,,Parking & Traffic,College Point
67351798,,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,11210,Closed,14 BROOKLYN,BROOKLYN,40.63010668408638,-73.9450664073365,,,,Noise,Flatbush
67344602,,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,11378,Closed,05 QUEENS,QUEENS,40.716652863762285,-73.90751105695132,,,,Noise,Maspeth
67348772,,,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,11421,Closed,09 QUEENS,QUEENS,40.69232177095838,-73.85543392312977,,,,Parking & Traffic,Woodhaven
67348267,,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,11379,Closed,05 QUEENS,QUEENS,40.723586851436,-73.87361762195778,,,,Noise,Middle Village
67353011,,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,10459,Closed,02 BRONX,BRONX,40.82063662196181,-73.89387201026959,,,,Noise,Longwood
67345802,,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,10458,Closed,07 BRONX,BRONX,40.87279097816121,-73.88468773284526,,,,Noise,Bedford Park
67350586,,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,10029,Closed,11 MANHATTAN,MANHATTAN,40.79452728814723,-73.94182478030702,,,,Noise,East Harlem (North)
67347843,,,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,11214,Closed,11 BROOKLYN,BROOKLYN,40.606333326143854,-73.99495084818459,,,,Parking & Traffic,Bensonhurst
67347849,,,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,11369,Closed,03 QUEENS,QUEENS,40.75771555784815,-73.87913688855087,,,,Parking & Traffic,Jackson Heights
